Id,EssaySet,EssayText,EssayScore
6236,3,"Pandas in China are similar to Australian koalas because they're both specialist and they both live in warm climates. They both eat greens. They are different from pythons because pythons eat other animals and possibly humans koalas eat eucalyptus leave and pandas eat bamboo...."" A python swallowed an alligator."" Pythons are dangerous and pandas and koalas arent as much.",0
5415,3,Pandas in China are similar to koala bears because pandas eat nothing but bamboo and koalas eat eucalyptus leaves so the author states in paragraph 21. Pandas and koala bear are different from pythons because they don't eat anything unlike pythons on the other hand they eat alligators (13-15). Also the python likes warm areas so adapting to China they would die.,1
6196,3,"Pandas in China are similar to koalas in Australia because they both eat plants. The panda bear feeds mostly off bamboo, and Australia koalas eat eucalyptus leaves, pandas and kolas are different from pythons because pythons are other animals. In the story it said ""a python swallowed and alligator"", koalas and panda bears dont eat things like that.",1
5991,3,Pandas are similar to koalas because they both eat 1 type of food and are in their native habitat. They are different than pythons because the pythons are spreading throughout the U.S. eating other animals.,1
5767,3,"Pandas in China are specialists, they only eat bambbo, koala bears in Australia are also specialists because they mainly eat eucalyptus leaves. Pythons on the other hand, are generalists, they can survive in virtually any area that has conditions like their homelands in Asia like the Southern part of America.",1
5783,3,The pandas  in China are like the koalas in Australia because they are both specialist animals that can adapt to a specific environment and food sources. On the other hand they use both different from the generalist python who can really adapt to a new environment and change its diet easily.,1
6557,3,"Pandas & koalas both have specialized diets. Climats, making it difficult to survive in a variety of areas. Koalas for example eat almost exclusively eucalyptus leaves, wile python can eat just about anything and live just about anywhere (their habitat and food).",2
5640,3,"According to the article, panda and koalas are similar because they are both specialists. Paragraph 21 says that they are specialists because they only eat one type of food. But both are are different from a python because pythons are more adaptable than pandas or koalas are.",1
4988,3,"Panda  and koalas are similar because they're both specialists and they both eat pretty much only one type of plant. They are both different from pythons because pythons are generalists, so they will eat almost anything; also pythons are invasive and pandas are koalas are not.",1
6376,3,"Pandas in China are similar to koalas in Australia because they are both specialists. This means that they both only eat, ""almost nothing but bamboo"" or ""eucalyptus leaves almost exclusively"". The both have stability. They are different from pythons because a python is a generalist. This means that it is more abundant, and is favored with change.",1
6312,3,"Pandas in China are similar to koalas in Australia by how they really just eat one type of food. They are specialists; pandas only eat bamboo and koalas just eat eucalyptus leaves. Pandas can live anywhere from Florida to Antarctica to even outer space. If pandas or koalas are taken out of their natural habitat, they will most likely not survive.",2
5397,3,"As the article states, a python is considered to be a generalist having the power to live with technological assistance where as a panda, or Australia's koala are contrasted in the specialist category. They feed off of local plants and revolve a round them, making it difficult/ impossible to be abundant elsewhere like the python.",0
5269,3,"Pandas from China are similar to koalas in Australia because they have a very limited diet that for pandas is bamboo and eucalyptus leaves for koala bears, and they are both endangered because pythons have a larger variety in food so survival is easier for them.",1
5436,3,"Panda from China are similar to Koalas from Australia because they are both example of specialist species. They live where they do because that is where they can survive. They are different from pythons because pythons are generalists, which means they can live many places. Another example of generalists is humans "" who... can live anywhere from Florida... to outer space.",2
5368,3,"Pandas and koalas are similar because they are both specialist animals meaning they can only live in the habitat they already reside in, China and Australia. They are different then pythons because pythons can live almost anywhere.",0
6775,3,"Pandas in China are similar to koalas in Australia because they are both specialist animals. They are different from pythons because pythons are generalist animals. A specialist like a panda eats almost nothing but bamboo ( Achabach 5) can only live in limited places. But, "" What favors a generalist is change ( Achenbach, 5) Dothay live anywhere.",1
6456,3,"Pandas in China are similar to koalas in Australia because pandas and koalas both eat mainly one thing which pandas eat almost nothing but bamboo and koalas eats eucalyptus and leaves everything, else exclusively. On the other hand, pandas and koalas are different from pythons because pythons eat just about anything they can eat and pandas and koalas eat only one thing.",2
6273,3,Pandas in China are similar to koala bears in Australia because they are both specialists. They can pruooldy only survive in that one environment. They are different from pythons because pythons can thrive in many different environments.,1
5520,3,Pandas in China are similar to koalas in Australia they both eat nothing but leaves. They are both different from pythons because in the article it says that a python can reach seven feet in length. Pythons are seen in multiple location in remote regions of the Everglades.,0
6165,3,"Both pandas and koalas and viewed a generaly ''cute'' animals, and your not usually scared of them because the are herbaviors, but pythons are generaly viewed as ugly'' things and people are usually scared of them because the eat meat.",1
6269,3,Pandas and koalas are alike because they both don't eat meat and are not threats. They are diffent from cobras because cobras are very deadly animals and eat anything.,0
5285,3,"Pandas and koalas are very similar to each other. For one, they are both specialists. The fact that they are specialists means they can only survive in a single, stable environment that can support them. They are both very different from python, because the python is a generalist, which means it could live just about anywhere.",0
5149,3,Pandas in China are similar to koalas because they both can adapt to the climate change in areas rather than a python.,2
6406,3,"Pandas in China $ koala bears in Australia are similar because they both have a limited and small food source. China's panda ""eats almost nothing but bamboo"" and Australia's koala bear ""eats eucalyptus leaves almost exclusively."" If either animals were to be  taken away from their exclusive food source, they would struggle to survive $ not adapt ways. This is unlike the pythons because a python can easily live in many different places $ adapt well. They have much broder food source. Therefore make them to survive $ adapt there.",1
5630,3,Pandas and Koalas are specialist. They do not cope well with because they eat only one type of food. Pythons are generalists. They can adapt to many different areas of the world because they eat many different types of food.,2
5503,3,"Pandas and koala bear are similar because according to the article the almost eat the same types of foods and these food are the only parts they eat. They both are different from pythons because they are more of a threat and according to the article the pythons population is still getting bigger, also pythons an pandas and kolas live in find different climate around.",1
5619,3,"Pandas & koalas are similar because they are both specialist species. This is shown by ''A specialist is China's panda, which eats almost nothing but bamboo, or Australia's koala bear, which eats eucalyptus leaves almost exclusively.'' They are different from pythons because neither of them eat meat and also pythons are generalist species.",2
5639,3,"Pandas in China are similar to koalas in Australia because they are both specialists & can only eat one type of food. According to the article Chinese pandas ""eat almost nothing but bamboo"" and Australian koalas ""eat eucalyptus leaves almost exclusively."" This means they can only survive in environments with that certain food. On the other hand, the article says that pythons are generalists, and can therefore adapt to almost any environment.",0
6467,3,Pandas in China are much like koalas in Australia because first of all they both only live in one part of the world. Second of all they only eat plants like bamboo and eucalyptus leaves while pythons are spreading throughout the world eating other small animals not plants.,0
5234,3,"Pandas are specialists along with Koalas. They both eat a specific plant/tree, bamboo and eucalyptus. Pythons are a generalist pythons eat meat, any kind of meat and can live anywhere. When pandas and Koalas have specific places.",1
5155,3,"Pandas in China are similar to koalas in Australia because they both are mammals. Pandas and koalas are just like humans, warm blood. But they are different from each other pandas eat bamboo and koala bear eat eucalyptus.",0
6211,3,"Pandas in China are similar to koalas in Australia because both species eat only one plant almost exclusively. Pandas eat almost only bamboo, and koalas eat only eucalyptus leaves, so they are both specialists. They are both different from pythons because pythons are generalists, and can live in many places, unlike the specialist pandas and koala bears.",2
6035,3,Pandas leaves in China and koala in Australia are alike because they one stick to food they are fimilar with. Pandas and koalas are different from pythons because pandas and koalas can survive when the temperater drops a few degrees and pythons are warm blooded creatures.,0
6746,3,Pandas in China and koala's in Australia are similar to each other because they both are a type of bear. The difference between them is a panda eats almost anything but bamboo and a koala eats eucalyptus leaves almost exclusively as the article states.,1
5347,3,"Pandas in China and Koalas in Australia are both different from pythons because they are both specialists. Specialists can only adapt to an area if the climate is right and they only survive off mainly bamboo or eucalyptus leaves. According the article a generalist, such as a python, can live anywhere and have become a abundant and do best in and around humans.",1
5516,3,"Panda in china are similar to koalas in Australia because they are both specialist.A s the story says. ""A specialist is china's panda or Australia koalas bear. They are both different from python because a python is a generalist pythons can live almost any where.Pandas and koalas bear can only live in certain areas.",0
6545,3,"Pandas and Koalas are similar because they both eat leaves and arent normaly pets. They are both different from pythons because as said in the story, they eat mammals like rats.",1
6539,3,Pandas in China and koalas in Australia are both similar. They eat plants and live it forest type areas. They are different from pythons because pythons can animals that likes to attack. They are the complete opposite for swallowing alligaters.,1
5527,3,"They both are homnivores, but are mammals.",1
5329,3,"The pandas and the Koala bear are alike because they aren't eating people or other animals. Pandas eat bamboo and Koalas eat eucalyptus leaves, they are also alike because they are specialist. Pandas and Koalas are different from pythons because a python is a generalist and pythons are viewed as a threat to society they are dangerous and eat other animals and possibly humans.",2
6039,3,"Pandas in China are similar to koalas in Australia because they both eat a type of plant: there different from pythons because in the article it says ""A python swallowed an alligator: there not a delicate way to put it, exploded."" Pandas & koalas would not be able to fit that in their mouth, so their eating habits are different.",1
5466,3,The panda and koala are both specialist and they only eat one thing. They are both different from the Python because A Python could eat anything from a mouse to deer and they move alotmore.,0
5823,3,"The koala and the panda are similar because they don't eat meat or other animals.''China's panda which eats almost nothing but bamboo, or Australias koala bear, which eats eucalyptus leaves.'' Both are different from the python which is a carnivore and the python is much more dangerous.",1
5114,3,"Pandas in China and koalas in Australia are similar because of their classification as a specialist species. The article sides that these animals are specialists because they eat almost exclusively are species. What a python is however, is a generalist. The article claims that generalists not only eat in wide range of food but they also can live in various areas and adapt very quickly to change. Pandas in China are similar to koalas in Australia because they are specialists, and that's why they are different from pythons.",1
6374,3,"Pandas in China and koalas in Australia are similar, according to the article, because they are both specialist species, the article states that they can survive on one food source. They differ from the python because a python survives on a lot of different food sources.",0
6480,3,"China's Panda is similar to Australia's Koala because they only eat mainly bamboo for the Panda, they basically only eat one main food source for themselves. The panda's and Koala's are different from the python's because they are abundant and often do best when they are around humans. Also, Panda's and Koala's are specialists and Python's are generalist.",1
5549,3,Panda in China are similar to koalas in Australia both these animals are mostly vegiterian which means they mostly eat vegitation. The pand mostly eats bamboo and the koalas eat eucalyptus  leaves almost exclusively. But on the other hand the pythons eat every thing in the article is states a python swallowed a alligator. Thats the diferants between pandas/koalas and pythons.,0
6107,3,Pandas in China are similar to koalas in Australia because they both just eat bamboo and eucalyptus leave all day as it says on page 5. This differs from a python because they eat meat can possibly hurt someone.,2
5699,3,"Pandas and koalas are mostly similar when it comes to the environment they stay in and the fact that they mainly eat one t5hing. Pandas and koalas and different from pythons because unlike pythons, pandas and koalas only eat mainly one thing. Pandas eat bamboo and koalas eat eucalyptus leaves : while a python will try to eat any thing and if it can't handle it, it will explode.",1
5403,3,"Panda's in China are similar to koalas in Australia because they are both specialists, they rely on one specific thing to live which is their food. They need stability to live. pythons are different fro pandas and koala's because they are generalists, they rely on change to survive.",0
5389,3,"Pandas and koalas are very similar, they both have a strict diet. Pandas only eat bamboo, and koalas only eat eucalyptus leaves. In the way they are different to pythons. Pandas and koalas cannot survive in the US because of their diet but pythons will eat most small/medium creatures.",2
5897,3,Pandas in China are similar to koals in Australia because they eat nothing else but bamboo and koals bears eat eucalyptus leaves. The difference between pythons and pandas is pythons are more of a dangerous species because they eat bigger things like alligators.,1
5860,3,China's panda is similar to Australias koala because these two animals are specialist species. These two specific place and only eat one specific food; compared to a python which is a generalist species that can adapt to other ranges throughout the U.S and eat a variety of different foods.,1
4983,3,"Pandas in China and koala's in Australia are similar because they both eat leaves and bamboo and would only survive in the jungle. In the article it says that pandas eat ''almost nothing but bamboo,'' and Australia's koala bear ''eats eucalyptus leaves.'' They differ from pythons because they're able to live anywhere.",1
6046,3,Pandas and koalas are similar because they both eat ucolyptus sap and they are both different from pythons because pythons eat other animals and koalas and pandas don't.,0
5511,3,"Panda and koalas are similar by they eat greens. Pandas eat,bamboo and Koalas eat eucalyptus leaves. They are harmful and are sweet. They are both different to pythons by pythons are long, slim and dangerous and pandas & Koalas are fuzzy and harmless.",1
6134,3,"The pandas in China barely eat anything but bamboo, they're similar in that way to the Australian koala bear, which eats eucalyptus leaves exclusively. Both of these animals differ from the pythons which can probably adapt to new places and eat almost anything from rats to even alligators. ""The Everglades in 2005: A python swallowed an alligator."" thats a big difference to me.",0
4947,3,Pandas in China and koalas from Australia are similar because they are specialists. The pandas only eat bamboo and koalas only eat eucalyptus leaves while a python can heat almost every thing humans can because they're generalist.,1
5027,3,Pandas and koalas are similar because they are both wild animals that are starting to become more popular living with people. They are different than pythons because they are more cuddly and aren't able to live in as much climate as snakes.,2
5561,3,"As the author mentions, pandas and koalas are specialists. They eat safety bamboo and eucalyptus leaves respectively. A python, however, is a generalist, and can eat many things, allowing it to survive in many more areas.",1
5224,3,"In the article it says that China's panda, ""eat almost nothing but bamboo"" and Australia's koala bear ""eats eucalyptus leaves almost exclusively."" They are similar because they both only eat a very small range of foods, they are specialists. The pythons is a generalist. It is different because it eats a huge range of animals, basically whatever is there and only needs the right climate, not the same food everywhere.",2
6599,3,China's pandas are similar to Australia's koala because both of these animals eat plants. In the article it states that the panda bear eats almost nothing but bamboo & the koala bear eats eucalyptus leaves most exclusively. This clearly states the difference between these animals & the python because pythons are carnivors they eat meat. In the story it says animals such as rats are becoming extinct because of the python it even tried to eat a crocodile. The 2 different kind of bears can rely on plants instead of meat.,1
5216,3,"Pandas in China are similar to Koala bears, because they eat exclusively the Panda with bamboo the Koala with eucalyptus leaves. This is different from pythons because they tend to eat anything. On page 5 it mentions that a python swallowed an alligator whole.",1
6457,3,Pandas and koalas are similar in the way the article says they basically eat one type of food. That same information sets them apart from snakes like pythons because pythons eat according to the article a broad range of food from mice to aligators.,2
6330,3,"Pandas from China and koalas in Africa are similar because they are vegetarian specialist species, as stated in paragraph 21. Pythons are different from them by being carnivorous general species.",0
5249,3,Pandas are similar to koalas because both of them are specialists. They both need to eat a certain type of food to live. They are different form pythons because pythons are generalists that eat anything they can so they can thrive anywhere.,1
6568,3,"the author describes pandas and koala bears as specialists while pythons are generalists. Both pandas and koalas eat one food exclusively. Pandas eat bamboo and koala bears eat eucalyptus. Pythons however, can eat nearly anything and are capable of surviving in more than one place. Pandas and koala bears must remain where they can get the right food.",1
5400,3,"Panda's and Koala's are alike eachother and different than python's by one major thing. It said in the article ""A specialist is China's panda which almost eats nothing but bamboo or Australia's Koala bear which eats eucalyptus leaves almost exclusively."" This one thing is their diets.",0
6372,3,"Pandas and koalas are similar because, all they eat is stuff from trees which are bamboo, and eucalyptus leaves. Pandas and koalas are different from pythons because , pandas and koalas are vegetarians . pythons eat meat like rabbits, even alligators.",1
6428,3,"China's panda and Australia's koala are similar in that they both are specialists. China's panda eats almost nothing but bamboo, and Australia's koala eats eucalyptus leaves almost exclusively. They live by stability. These two are different then the python, because the python is a generalists. It does not live a stable life.",1
6191,3,Pandas and koalas are the same because they both eat parts of tree. They are different than a python because they are not carnivivors.,1
6441,3,Pandas and koalas are both similar mainly because they both depend on a single food source like bamboo and eucalyptus. Pythons however can travel anywhere with the right climate wild small preys so it can adapt better to a new place.,1
6205,3,"The pandas in China and koalas in Australia are both specialist species. They have a limited food source as the panda can only eat bamboo and the koala can only eat eucalyptus leaves. The python on the other hand is a generalist as it could live is a wide range. According to the map, the python can live on about a third of the United States; places the panda and koala probably could not live.",1
6583,3,"Pandas in China are similar to Koalas in Australia because, they are both specialists. They both eat a specific thing. Pandas eat bamboo and Koalas eat eucalyptus leaves while on the other hand a python also known as a generalist, eats just about anything. and can adapt. If you put a panda somewhere there weren't bamboo then it would probably die but if put a python anywhere it would probably survive.",1
6577,3,"Pandas in China stick with one type of food, bamboo. The koala in Australia sticks with one type of food too, eucalyptus leaves. A python, on the other hand is not picky. In fact there is a picture that is mentioned in this article "" A python swallowed an alligator"".",2
5240,3,"A panda is similar to a koala bear because neither one of them is harmful. They both only eat plants, and they don't really bother humans, so they're not a threat. They differ from pythons because pythons are harmful and they will attack humans.",0
5880,3,"Pandas and koalas are similar because they are specialists and eat exclusively from one food source. Pandas eat mostly bamboo and the koala eats nothing, but eucalyptus leaves. They are different then the python because pythons are generalists. Because they can pretty much eat what ever they want. They have even eaten an alligator, before and they can live more place where the panda and koala cannot.",1
5292,3,"Pandas in China are similar to koalas in Australia, because panda eats almost nothing but bamboo, and koalas eats eucalyptus leaves all the time. They are different from pythons because pythons are 5 of the most dangerous species. The U.S. biological survey notes that pythons in Asia inhabit climates that are similar to those in about a third of the continental US.",1
5470,3,"A Panda from China almost eats nothing but bamboo, while the Koala bear from Australia eats eucalyptus leaves all the time. These two animals differ from python though as they have a certain food supply, while the python eats anything when it is hungry. I believe they want to show how animals differ with their food source availability.",2
6638,3,They are from the bear family and don't like to eat meat like pythons do when they are hunting for food.,1
6350,3,"The panda and the koala are both specialists. A panda only eats bamboo and the koala only eats eucalyptus leaves. These animals aren't dangerous animals. They're not known for eating alligators or rats, like a python. Koalas and pandas aren't found everywhere but pythons can be found all throughout the U.S.",1
6678,3,Pandas are similar to koalas because they are both part of specialist species. What differs these two animals from pythons is acceptance by humans. While all of these animals are specialized species a human would much rather hug a koala or be close to a panda rather that go near a python.,0
5242,3,"Pandas in China are very similar to koalas in Australia. Both are specialists meaning that they can only eat & survive in certain climate and region. ""A specialist is China's panda, which eats almost nothing but bamboo, or Australia's koala bear,which eats eucalyptus leaves almost exclusively."" The python however, is the opposite of a specialist and falls under the category of generalist meaning the can adapt to changes.",2
